Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY,29-01-2021 09:15:00,30700.70,30715.10,30589.30,30676.30,0,0
BANKNIFTY,29-01-2021 09:16:00,30672.70,30680.30,30621.30,30678.00,0,0
BANKNIFTY,29-01-2021 09:17:00,30683.40,30704.70,30636.30,30680.40,0,0
BANKNIFTY,29-01-2021 09:18:00,30690.40,30690.80,30652.50,30652.50,0,0
BANKNIFTY,29-01-2021 09:19:00,30651.90,30651.90,30619.40,30650.00,0,0
BANKNIFTY,29-01-2021 09:20:00,30648.80,30723.20,30648.80,30701.70,0,0
BANKNIFTY,29-01-2021 09:21:00,30702.80,30723.60,30696.30,30707.70,0,0
BANKNIFTY,29-01-2021 09:22:00,30703.80,30710.50,30656.50,30657.40,0,0
BANKNIFTY,29-01-2021 09:23:00,30656.90,30680.50,30651.50,30662.90,0,0
BANKNIFTY,29-01-2021 09:24:00,30656.00,30677.50,30652.50,30655.90,0,0
BANKNIFTY,29-01-2021 09:25:00,30651.70,30653.50,30604.80,30604.80,0,0
BANKNIFTY,29-01-2021 09:26:00,30604.70,30639.00,30578.10,30631.80,0,0
BANKNIFTY,29-01-2021 09:27:00,30630.30,30632.20,30599.20,30606.40,0,0
BANKNIFTY,29-01-2021 09:28:00,30609.00,30619.00,30593.70,30612.20,0,0
BANKNIFTY,29-01-2021 09:29:00,30613.30,30618.40,30564.20,30595.70,0,0
BANKNIFTY,29-01-2021 09:30:00,30597.00,30646.90,30597.00,30614.30,0,0
BANKNIFTY,29-01-2021 09:31:00,30610.80,30610.80,30553.50,30575.50,0,0
BANKNIFTY,29-01-2021 09:32:00,30575.50,30589.50,30552.80,30583.00,0,0
BANKNIFTY,29-01-2021 09:33:00,30585.20,30612.30,30585.00,30593.50,0,0
BANKNIFTY,29-01-2021 09:34:00,30595.00,30595.00,30547.00,30547.00,0,0
BANKNIFTY,29-01-2021 09:35:00,30546.50,30578.60,30542.70,30542.70,0,0
BANKNIFTY,29-01-2021 09:36:00,30537.00,30601.00,30528.80,30590.80,0,0
BANKNIFTY,29-01-2021 09:37:00,30589.50,30597.00,30569.30,30576.50,0,0
BANKNIFTY,29-01-2021 09:38:00,30581.70,30620.00,30578.30,30605.30,0,0
BANKNIFTY,29-01-2021 09:39:00,30606.00,30606.00,30551.30,30552.40,0,0
